epoch;loss_train;accuracy_train;learning_rate;elapsed;loss_val;accuracy_val
237;0.0207;99.41;0.0008;04:37;0.0726;96.83
238;0.0206;99.38;0.0008;04:37;0.0716;96.93
239;0.0217;99.38;0.0008;04:37;0.0735;96.87
240;0.0208;99.39;0.0008;04:37;0.0720;96.86
241;0.0214;99.34;0.0008;04:37;0.0730;96.76
242;0.0209;99.42;0.0008;04:37;0.0716;96.83
243;0.0214;99.36;0.0008;04:37;0.0724;96.79
244;0.0206;99.41;0.0008;04:37;0.0740;96.74
245;0.0193;99.46;0.0008;04:37;0.0720;96.80
246;0.0207;99.39;0.0008;04:37;0.0714;96.84
247;0.0205;99.42;0.0008;04:38;0.0725;96.75
248;0.0202;99.42;0.0008;04:37;0.0715;96.90
249;0.0210;99.38;0.0008;04:38;0.0716;96.76
